# 대체당 제로 음료 티어 — 데이터 전문 (2026-09-03 기준)

제품 616개. 출처: 식품의약품안전처 품목제조보고 원재료(C002) + 공공데이터포털 전국통합식품영양성분정보(15100066).
열량·당류는 100mL(또는 100g)당 값이며 한 병 전체 기준이 아닙니다.
정본: https://zero-drinks-tier.vercel.app/  /  산출 코드: https://github.com/gulf1324/zero-drinks-tier

| 티어 | 제품명 | 제조사 | 감미료 | 열량 | 당류 | 용량 |
| C | 이온더핏 제로 스파클링 | 튤립인터내셔널(주) 외 1곳 | 수크랄로스(B,11) / 아세설팜(B,12) / 에리스리톨(C,2) | 0 | 0.00 | 500ml |
| C | 익스트림 에너지 어비스 | 오케이에프음료 주식회사 | 아세설팜(B,17) / 수크랄로스(B,18) / 에리스리톨(C,3) | 6 | 0.00 | 250ml |
| C | 익스트림 에너지 퍼스트 펭귄 | 오케이에프음료 주식회사 외 1곳 | 수크랄로스(B,12) / 아세설팜(B,13) / 에리스리톨(C,6) | - | - | - |
| C | 익스트림 에너지 프로즌 | 오케이에프음료 주식회사 | 수크랄로스(B,6) / 아세설팜(B,7) / 에리스리톨(C,22) | 6 | 0.00 | 250ml |
| C | 인천 먼바다 첫 사이다 | (주)코아바이오 | 효소처리스테비아(A,10) / 수크랄로스(B,11) / 아세설팜(B,15) / 에리스리톨(C,2) | - | - | - |
| C | 인천 앞바다 첫 사이다 | (주)코아바이오 | 효소처리스테비아(A,7) / 아세설팜(B,2) / 수크랄로스(B,6) / 에리스리톨(C,15) | 1 | 0.00 | 250ml |
| C | 잇더핏 제로팝 납작복숭아 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,6) / 수크랄로스(B,7) / 에리스리톨(C,1) | 0 | 0.00 | 500ml |
| C | 잇더핏 제로팝 레몬 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,14) | - | - | - |
| C | 잇더핏 제로팝 밀키소다 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,7) / 수크랄로스(B,8) / 에리스리톨(C,1) | - | - | - |
| C | 잇더핏 제로팝 사과 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,6) / 수크랄로스(B,7) / 에리스리톨(C,1) | 0 | 0.00 | 500ml |
| C | 잇더핏 제로팝 포도 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,7) / 수크랄로스(B,8) / 에리스리톨(C,1) | - | - | - |
| C | 자몽슬라이스 소다 | (주)금강비앤에프 | 아세설팜(B,2) / 수크랄로스(B,3) / 에리스리톨(C,5) | 6 | 0.24 | 340ml |
| C | 자몽에이드 | 건강한사람들 주식회사 2사업장 외 1곳 | 효소처리스테비아(A,5) / 수크랄로스(B,6) / 에리스리톨(C,12) | 47 | 11.43 | 350ml |
| C | 자연은 스파클링 핑크구아바 | 튤립인터내셔널(주) | 아세설팜(B,10) / 수크랄로스(B,11) / 에리스리톨(C,1) | - | - | - |
| C | 잔망클링 사워레몬 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,5) / 아세설팜(B,6) / 에리스리톨(C,1) | - | - | - |
| C | 잔망클링 요거피치 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,8) / 수크랄로스(B,9) / 에리스리톨(C,16) | - | - | - |
| C | 제뉴어리 레몬 | (주)삼양패키징광혜원공장 | 스테비올배당체(A,1) / 에리스리톨(C,5) | - | - | - |
| C | 제로딸기탄산 | 오케이에프음료 주식회사 | 아세설팜(B,1) / 아스파탐(B,2) / 수크랄로스(B,3) / 에리스리톨(C,6) | 0 | 0.00 | 500ml |
| C | 제로아워 스파클링 복숭아맛 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,7) / 수크랄로스(B,8) / 에리스리톨(C,11) | - | - | - |
| C | 제로아워 스파클링 사과맛 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,7) / 수크랄로스(B,8) / 에리스리톨(C,11) | - | - | - |
| C | 제로아워 스파클링 유자맛 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,6) / 수크랄로스(B,7) / 에리스리톨(C,10) | - | - | - |
| C | 제로아워 알파시디 애사비 사과맛 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,7) / 수크랄로스(B,6) / 에리스리톨(C,2) | 3 | 0.00 | 350ml |
| C | 제로아워 프로틴 스파클링 밀크소다 | (주)삼양패키징광혜원공장 | 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,8) | 13 | 0.00 | 335ml |
| C | 제로아워 프로틴 스파클링 자몽파인 | (주)삼양패키징광혜원공장 | 아세설팜(B,11) / 수크랄로스(B,12) / 에리스리톨(C,14) | 13 | 0.00 | 335ml |
| C | 제로아워 프로틴 스파클링 청포도사과 | (주)삼양패키징광혜원공장 | 아세설팜(B,10) / 수크랄로스(B,11) / 에리스리톨(C,13) | 13 | 0.15 | 335ml |
| C | 제로오렌지탄산 | 오케이에프음료 주식회사 | 아세설팜(B,8) / 아스파탐(B,9) / 수크랄로스(B,10) / 에리스리톨(C,1) | 0 | 0.00 | 500ml |
| C | 제로청포도탄산 | 오케이에프음료 주식회사 | 아세설팜(B,9) / 아스파탐(B,10) / 수크랄로스(B,11) / 에리스리톨(C,2) | 0 | 0.00 | 500ml |
| C | 제로팝 | (주)상일 | 아세설팜(B,11) / 수크랄로스(B,12) / 에리스리톨(C,3) | - | - | - |
| C | 제주한라봉스파클링 | 오케이에프음료 주식회사 외 1곳 | 아세설팜(B,4) / 수크랄로스(B,5) / 에리스리톨(C,11) | 0 | 0.00 | 355ml |
| C | 진로토닉워터 청귤 | 대경사과원예농협음료가공공장 | 알룰로오스(S,15) / 효소처리스테비아(A,13) / 사카린(B,10) / 아세설팜(B,11) / 수크랄로스(B,12) / 에리스리톨(C,14) | 1 | 0.00 | 300ml |
| C | 청귤톡 제로톡 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,9) | - | - | - |
| C | 청춘전투 세상에 없는 루이보스 | (주)금강비앤에프 | 수크랄로스(B,10) / 에리스리톨(C,1) | - | - | - |
| C | 청춘전투 세상에 없는 캐모마일 | (주)금강비앤에프 | 수크랄로스(B,8) / 아세설팜(B,11) / 에리스리톨(C,3) | - | - | - |
| C | 청춘전투 진저에 레몬 한방울 | (주)금강비앤에프 | 수크랄로스(B,10) / 아세설팜(B,11) / 에리스리톨(C,1) / 벌꿀(SUGAR,2) | 13 | 0.00 | 240ml |
| C | 청포도소다 zero | (유)삼각에프엠씨 웰빙랜드 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,1) | 0 | 0.00 | 350ml |
| C | 초록매실 스파클링 제로 | 웅진식품(주) | 스테비올배당체(A,15) / 아세설팜(B,12) / 수크랄로스(B,14) / 에리스리톨(C,3) | 2 | 0.00 | 350ml |
| C | 칠성사이다제로 | 롯데칠성음료(주) | 알룰로오스(S,5) / 스테비올배당체(A,2) / 수크랄로스(B,3) / 에리스리톨(C,1) | 0 | 0.00 | 355ml |
| C | 칠성사이다제로라임 | 롯데칠성음료(주) | 알룰로오스(S,12) / 스테비올배당체(A,8) / 수크랄로스(B,9) / 에리스리톨(C,7) | 1 | 0.03 | 500ml |
| C | 칠성사이다제로오렌지 | 롯데칠성음료(주) | 알룰로오스(S,2) / 스테비올배당체(A,6) / 수크랄로스(B,5) / 에리스리톨(C,4) | 1 | 0.18 | 500ml |
| C | 칠성사이다제로유자 | 롯데칠성음료(주) | 알룰로오스(S,1) / 스테비올배당체(A,5) / 수크랄로스(B,4) / 에리스리톨(C,6) | 1 | 0.03 | 355ml |
| C | 칼로리도 설탕도 제로 상큼한 복숭아향과 톡 쏘는 탄산 무라벨 스파클링은 역시 배민이지 | 오케이에프음료 주식회사 | 효소처리스테비아(A,5) / 아세설팜(B,3) / 수크랄로스(B,4) / 에리스리톨(C,8) | 0 | 0.00 | 2100ml |
| C | 칼로리도 설탕도 제로 파인애플향과 톡쏘는 탄산 무라벨 스파클링 역시 배민이지 | 오케이에프음료 주식회사 | 효소처리스테비아(A,10) / 아세설팜(B,8) / 수크랄로스(B,9) / 에리스리톨(C,4) | 0 | 0.00 | 350ml |
| C | 커피엔 아메리카노 스파클링 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,7) / 에리스리톨(C,6) | - | - | - |
| C | 코어핏 | 오케이에프음료 주식회사 | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,2) | 8 | 0.00 | 355ml |
| C | 쿨링업 | 오케이에프음료 주식회사 | 아세설팜(B,6) / 수크랄로스(B,8) / 에리스리톨(C,17) | 8 | 0.00 | 355ml |
| C | 큐리어스 부스트 | 마일포스트 제2공장 | 수크랄로스(B,7) / 에리스리톨(C,14) | 18 | 0.00 | 355ml |
| C | 클룹 리얼 토닉 유자 | (유)삼각에프엠씨 웰빙랜드 | 효소처리스테비아(A,8) / 수크랄로스(B,9) / 아세설팜(B,10) / 에리스리톨(C,1) | 2 | 0.00 | 500ml |
| C | 클룹 리얼 토닉 자몽 | (유)삼각에프엠씨 웰빙랜드 | 효소처리스테비아(A,6) / 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,12) | 3 | 0.00 | 500ml |
| C | 클룹 바이탈레몬 스파클링 | 튤립인터내셔널(주) 외 1곳 | 아세설팜(B,2) / 수크랄로스(B,3) / 에리스리톨(C,8) | 4 | 0.20 | 500ml |
| C | 클룹 바이탈레몬 스파클링 프레쉬 | 보해양조(주) 장성공장 외 1곳 | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,3) | 15 | 0.24 | 500ml |
| C | 클룹 바이탈자몽 스파클링 프레쉬 | 보해양조(주) 장성공장 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,2) | - | - | - |
| C | 클룹 알파 CD 사이다 | 튤립인터내셔널(주) | 아세설팜(B,4) / 수크랄로스(B,5) / 에리스리톨(C,10) | 1 | 0.00 | 350ml |
| C | 클룹 에너지드링크 사우어베리 | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,10) / 수크랄로스(B,12) / 에리스리톨(C,19) | - | - | - |
| C | 클룹 에너지드링크 사우어베리 제로 | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,10) / 수크랄로스(B,12) / 에리스리톨(C,19) | - | - | - |
| C | 클룹 에너지드링크 애플블라스트 | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,8) / 수크랄로스(B,10) / 에리스리톨(C,7) | - | - | - |
| C | 클룹 에너지드링크 애플블라스트 제로 | (유)삼각에프엠씨 웰빙랜드 | 수크랄로스(B,8) / 아세설팜(B,10) / 에리스리톨(C,2) | - | - | - |
| C | 클룹 제로소다 레드애플 | 오케이에프음료 주식회사 외 1곳 | 아세설팜(B,4) / 수크랄로스(B,5) / 에리스리톨(C,9) | - | - | - |
| C | 클룹 제로소다 파인애플 | 보해양조(주) 장성공장 외 2곳 | 아세설팜(B,4) / 수크랄로스(B,5) / 에리스리톨(C,11) | 7 | 0.00 | 500ml |
| C | 탐스제로레몬향 | 롯데칠성음료(주) | 알룰로오스(S,1) / 수크랄로스(B,6) / 아세설팜(B,7) / 에리스리톨(C,2) | 2 | 0.00 | 355ml |
| C | 탐스제로오렌지향 | 롯데칠성음료(주) | 알룰로오스(S,5) / 수크랄로스(B,10) / 아세설팜(B,11) / 에리스리톨(C,6) | 2 | 0.00 | 1500ml |
| C | 탐앤펭수 제로 사이다 | 오케이에프음료 주식회사 | 수크랄로스(B,6) / 아세설팜(B,7) / 에리스리톨(C,3) | - | - | - |
| C | 토비콤 아이타민 | 오케이에프음료 주식회사 | 효소처리스테비아(A,15) / 수크랄로스(B,14) / 아세설팜(B,16) / 에리스리톨(C,3) | 2 | 0.00 | 250ml |
| C | 톡! 애사비소다 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,4) / 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,11) | - | - | - |
| C | 티릿 오미자 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,17) / 수크랄로스(B,11) / 에리스리톨(C,16) | 1 | 0.00 | 500ml |
| C | 티즐 스파클링 유자그린티 | (주)상일 | 수크랄로스(B,2) / 아세설팜(B,3) / 에리스리톨(C,11) | - | - | - |
| C | 티즐 스파클링 피치우롱티 | (주)상일 | 아세설팜(B,1) / 수크랄로스(B,15) / 에리스리톨(C,8) | - | - | - |
| C | 티즐제로 레몬말차스파클링 | 튤립인터내셔널(주) | 수크랄로스(B,2) / 아세설팜(B,3) / 에리스리톨(C,14) | 1 | 0.00 | 500ml |
| C | 파워 에너지 | (주)금강비앤에프 | 수크랄로스(B,15) / 에리스리톨(C,10) | - | - | - |
| C | 파인애플슬라이스 소다 | (주)금강비앤에프 | 아세설팜(B,10) / 수크랄로스(B,11) / 에리스리톨(C,1) | 5 | 0.40 | 344.52g |
| C | 팡클소다 오랜지 (240ml CAN) | (주)금강비앤에프 | 효소처리스테비아(A,8) / 수크랄로스(B,7) / 에리스리톨(C,1) | - | - | - |
| C | 팡클소다 포도 (240ml Can) | (주)금강비앤에프 | 효소처리스테비아(A,8) / 수크랄로스(B,7) / 에리스리톨(C,1) | - | - | - |
| C | 페를레디솔레 레몬 스파클링 | (주)삼양패키징광혜원공장 | 수크랄로스(B,2) / 아세설팜(B,3) / 에리스리톨(C,12) | 0 | 0.00 | 500ml |
| C | 페를레디솔레 블루베리 스파클링 | (주)삼양패키징광혜원공장 | 수크랄로스(B,1) / 아세설팜(B,12) / 에리스리톨(C,10) | 1 | 0.00 | 500ml |
| C | 펩스데이 제로슈거 콜라 | (주)일화초정공장 외 1곳 | 효소처리스테비아(A,7) / 수크랄로스(B,5) / 아세설팜(B,6) / 에리스리톨(C,2) | 1 | 0.00 | 350ml |
| C | 포스트락토 딸기바닐라 | 오케이에프음료 주식회사 | 수크랄로스(B,4) / 아세설팜(B,7) / 에리스리톨(C,15) | 1 | 0.00 | 350ml |
| C | 포스트락토 레몬라임 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 수크랄로스(B,10) / 에리스리톨(C,13) | 1 | 0.00 | 350ml |
| C | 포스트락토 수박라임 | 오케이에프음료 주식회사 | 수크랄로스(B,10) / 아세설팜(B,14) / 에리스리톨(C,5) | 1 | 0.00 | 350ml |
| C | 포스트락토 진저레몬 | 오케이에프음료 주식회사 | 아세설팜(B,10) / 수크랄로스(B,13) / 에리스리톨(C,8) | 1 | 0.00 | 350ml |
| C | 포스트락토 트로피칼펀치 | 오케이에프음료 주식회사 | 아세설팜(B,9) / 수크랄로스(B,13) / 에리스리톨(C,2) | 1 | 0.00 | 350ml |
| C | 포커스 | 오케이에프음료 주식회사 | 아세설팜(B,14) / 수크랄로스(B,16) / 에리스리톨(C,7) | 7 | 0.00 | 355ml |
| C | 프로틴 비 | (주)금강비앤에프 | 수크랄로스(B,8) / 에리스리톨(C,2) | 25 | 0.00 | 240ml |
| C | 프로틴 스파클링 복숭아 | 오케이에프음료 주식회사 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,3) | 16 | 0.00 | 250ml |
| C | 프로틴 스파클링 오렌지 | 오케이에프음료 주식회사 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,3) | 16 | 0.00 | 250ml |
| C | 프로틴 콜라 제로슈가 탄산 (245ml) CAN | (주)금강비앤에프 | 효소처리스테비아(A,10) / 아세설팜(B,2) / 수크랄로스(B,3) / 에리스리톨(C,7) | - | - | - |
| C | 프로틴비 레몬라임 | (주)금강비앤에프 | 수크랄로스(B,11) / 에리스리톨(C,7) | 29 | 0.00 | 240ml |
| C | 프로틴비 크림소다 (240ml) | (주)금강비앤에프 | 수크랄로스(B,6) / 에리스리톨(C,2) | - | - | - |
| C | 프로틴스파클링 레몬라임 | 오케이에프음료 주식회사 | 수크랄로스(B,4) / 아세설팜(B,5) / 에리스리톨(C,10) | 3 | 0.00 | 355ml |
| C | 프로틴킹 스파클링 레몬&라임 | 오케이에프음료 주식회사 | 수크랄로스(B,6) / 아세설팜(B,7) / 에리스리톨(C,10) | 13 | 0.00 | 355ml |
| C | 플라이트 납작복숭아 (240ml) | (주)금강비앤에프 | 효소처리스테비아(A,8) / 수크랄로스(B,7) / 에리스리톨(C,1) | - | - | - |
| C | 피에스에스 10  레몬라임맛 | (주)금강비앤에프 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,13) | - | - | - |
| C | 피에스에스 15  소다맛 | (주)금강비앤에프 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,4) | - | - | - |
| C | 피치클링 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,2) / 에리스리톨(C,6) | 2 | 0.00 | 350ml |
| C | 피크닉 칠 제로 레몬라임 | (주)삼양패키징광혜원공장 | 수크랄로스(B,3) / 아세설팜(B,4) / 에리스리톨(C,14) | 1 | 0.00 | 350ml |
| C | 피크닉 칠 제로 오렌지 | (주)삼양패키징광혜원공장 | 아세설팜(B,10) / 수크랄로스(B,11) / 에리스리톨(C,1) | - | - | - |
| C | 피타팝  ( 250ML ) | (주)금강비앤에프 | 에리스리톨(C,16) | - | - | - |
| C | 핫식스더킹스톰 | 롯데칠성음료(주) | 아세설팜(B,17) / 수크랄로스(B,18) / 에리스리톨(C,16) | 3 | 0.28 | 355ml |
| C | 핫식스더킹포스 | 롯데칠성음료(주) | 스테비올배당체(A,2) / 수크랄로스(B,3) / 에리스리톨(C,5) | 3 | 0.28 | 355ml |
| C | 핫식스제로 | 롯데칠성음료(주) | 알룰로오스(S,16) / 아세설팜(B,13) / 수크랄로스(B,14) / 에리스리톨(C,15) | 2 | 0.04 | 250ml |
| C | 해피즈 레몬라임 | 롯데칠성음료(주) | 알룰로오스(S,1) / 스테비올배당체(A,2) / 에리스리톨(C,3) | 3 | 0.09 | 355ml |
| C | 해피즈 트로피칼믹스 | 롯데칠성음료(주) | 알룰로오스(S,7) / 스테비올배당체(A,6) / 에리스리톨(C,5) | 3 | 0.14 | 355ml |
| C | 해피즈 팝핑체리 | 롯데칠성음료(주) | 알룰로오스(S,1) / 스테비올배당체(A,2) / 에리스리톨(C,3) | 3 | 0.13 | 355ml |
| C | 헴부 헴프콤부차 | 마일포스트 제2공장 외 1곳 | 수크랄로스(B,10) / 에리스리톨(C,7) | 5 | 0.00 | 355ml |
| C | 홀베리 레몬 하나 스파클링 | (주)삼양패키징광혜원공장 | 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,2) | 1 | 0.00 | 500ml |
| C | 홉홉스 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,6) / 에리스리톨(C,2) | - | - | - |
| C | 흠(HMM) 스파클링 콤부차 사과 | 농업회사법인(주)동의보굼 | 수크랄로스(B,1) / 에리스리톨(C,4) | 17 | 0.00 | 355ml |
| C | 흠(HMM) 스파클링 콤부차 유자 | 농업회사법인(주)동의보굼 | 수크랄로스(B,4) / 에리스리톨(C,2) | 20 | 0.00 | 355ml |
| F | ZEROLL 유자 | 하이드로오아시스 제1공장 | 수크랄로스(B,7) / 설탕(SUGAR,2) | 11 | 2.58 | 355ml |
| F | 미닛메이드 스파클링 제로 슈거 사과 | 오케이에프음료 주식회사 | 농축과즙(SUGAR,8) | - | - | - |
| F | 미닛메이드 스파클링 제로 슈거 청포도 | 오케이에프음료 주식회사 | 농축과즙(SUGAR,9) | - | - | - |
| F | 바이오티 제로소다 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,6) / 수크랄로스(B,7) / 에리스리톨(C,9) / 올리고당(SUGAR,10) | - | - | - |
| F | 알밤동동 제로 0.00 | (주)우리술 | 수크랄로스(B,11) / 과당(SUGAR,4) | - | - | - |
| F | 에너지드링크부스타 ZERO | (주)상일 | 효소처리스테비아(A,17) / 수크랄로스(B,2) / 아세설팜(B,15) / 에리스리톨(C,4) / 포도당(SUGAR,16) | - | - | - |
| F | 제로까베르네소비뇽 | 마일포스트 제2공장 외 1곳 | 자일리톨(C,12) / 포도당(SUGAR,10) / 결정과당(SUGAR,11) | 42 | 9.35 | 355ml |
| F | 제로로제 | 마일포스트 제2공장 외 1곳 | 자일리톨(C,6) / 포도당(SUGAR,4) / 결정과당(SUGAR,5) | 46 | 10.71 | 355ml |
| F | 제로모스카토 | 마일포스트 제2공장 외 1곳 | 자일리톨(C,6) / 포도당(SUGAR,4) / 결정과당(SUGAR,5) | 15 | 3.38 | 330ml |
| F | 제로애플사이다 | 마일포스트 제2공장 | 설탕(SUGAR,2) / 결정과당(SUGAR,5) | 52 | 12.41 | 355ml |
| F | 진로토닉워터 제로 | (주)삼양패키징광혜원공장 외 4곳 | 효소처리스테비아(A,14) / 사카린(B,11) / 수크랄로스(B,12) / 아세설팜(B,13) / 설탕(SUGAR,2) | 3 | 0.82 | 600ml |
| F | 탐스ZERO파인애플 | 롯데칠성음료(주) | 알룰로오스(S,4) / 스테비올배당체(A,15) / 수크랄로스(B,16) / 에리스리톨(C,17) / 올리고당(SUGAR,3) | 2 | 0.14 | 600ml |
| F | 탐스제로사과 | 롯데칠성음료(주) | 알룰로오스(S,14) / 스테비올배당체(A,1) / 수크랄로스(B,4) / 에리스리톨(C,11) / 올리고당(SUGAR,10) | 3 | 0.53 | 355ml |
| F | 탐스제로파인애플 | 롯데칠성음료(주) | 알룰로오스(S,6) / 스테비올배당체(A,11) / 수크랄로스(B,8) / 에리스리톨(C,1) / 올리고당(SUGAR,5) | 2 | 0.28 | 355ml |
| F | 탐스제로파인애플향 | 롯데칠성음료(주) | 알룰로오스(S,12) / 스테비올배당체(A,5) / 수크랄로스(B,6) / 에리스리톨(C,7) / 올리고당(SUGAR,11) | 2 | 0.28 | 355ml |
